id,WKT
121,"POINT(13.4155424549039 49.7981978569645)"
122,"POINT(13.420045497461 49.805342469383)"
123,"POINT(13.4234030759034 49.8039773769112)"
124,"POINT(13.3893299326897 49.8049164433444)"
125,"POINT(13.3894247196304 49.8049633327947)"
126,"POINT(13.3920017409647 49.8165774835318)"
127,"POINT(13.3690030197338 49.8018634357836)"
128,"POINT(13.3693855229411 49.8126860082347)"
129,"POINT(13.3516702811472 49.8007317524435)"
130,"POINT(13.3326078356004 49.8211546767157)"
131,"POINT(13.3311671830262 49.8197110220733)"
132,"POINT(13.3239970902824 49.7939402996071)"
133,"POINT(13.3273543898202 49.7914210980446)"
134,"POINT(13.3098481285883 49.783764231173)"
135,"POINT(13.3174904533329 49.7926511992219)"
136,"POINT(13.3180881671452 49.7935593064758)"
137,"POINT(13.3178820524021 49.7938866047653)"
138,"POINT(13.2771864510111 49.7601802211009)"
139,"POINT(13.4622554313887 49.7298360450074)"
140,"POINT(13.4613664640038 49.7306259735062)"
141,"POINT(13.2759865934014 49.7622368092085)"
142,"POINT(13.2889338067529 49.759152111032)"
143,"POINT(13.2564927492171 49.7274508400348)"
144,"POINT(13.2789676896785 49.7318155089833)"
145,"POINT(13.2844470647036 49.7322994807579)"
146,"POINT(13.2881868285626 49.740879762021)"
147,"POINT(13.2831433754116 49.7357110948152)"
148,"POINT(13.2803921459014 49.7258932282934)"
149,"POINT(13.2943210333764 49.7174230538417)"
150,"POINT(13.2981924703523 49.7189737766479)"
151,"POINT(13.2931655144465 49.7160280704862)"
152,"POINT(13.2949210539509 49.7163273773252)"
153,"POINT(13.3015453948183 49.7068783780733)"
154,"POINT(13.256857239048 49.6948219487227)"
155,"POINT(13.2560483877896 49.69442646847)"
156,"POINT(13.2397604062231 49.6863501065008)"
157,"POINT(13.2527179295588 49.6798209853902)"
158,"POINT(13.3613317996301 49.6966315380854)"
159,"POINT(13.3602356709451 49.6957976798368)"
160,"POINT(13.3555858471324 49.6938394222767)"
161,"POINT(13.3540558312619 49.6941138666255)"
162,"POINT(13.2777855863921 49.7094285401686)"
163,"POINT(13.2486737653941 49.7100810498859)"
164,"POINT(13.2325372703458 49.7232992725899)"
165,"POINT(13.2407323675143 49.7253640853339)"
166,"POINT(13.2413352033781 49.7245499346958)"
167,"POINT(13.2547612011651 49.6981539042842)"
168,"POINT(13.2554506209845 49.6971740256348)"
169,"POINT(13.3003855126866 49.6867721396636)"
170,"POINT(13.2940199269721 49.6860903239368)"
171,"POINT(13.3107632733574 49.6784318567184)"
172,"POINT(13.442528859884 49.6801921768917)"
173,"POINT(13.4664512560999 49.6627481379148)"
174,"POINT(13.476329673621 49.6753839683031)"
175,"POINT(13.457443327807 49.7254959122926)"
176,"POINT(13.4779666148282 49.7446668315659)"
177,"POINT(13.4783720081292 49.7459565216076)"
178,"POINT(13.470329280581 49.7461871007424)"
179,"POINT(13.51127431572 49.735598454782)"
180,"POINT(13.5129876494326 49.7361091810821)"
181,"POINT(13.5142150044881 49.737005012114)"
182,"POINT(13.517282074086 49.7381136413081)"
183,"POINT(13.5114813461869 49.7372344319194)"
184,"POINT(13.5090170237759 49.7384913458691)"
185,"POINT(13.474318928869 49.7334105804285)"
186,"POINT(13.4746719216942 49.7338164872561)"
187,"POINT(13.5064782203005 49.7389339361645)"
188,"POINT(13.5057007564275 49.7386257402335)"
189,"POINT(13.4992937038063 49.745462028143)"
190,"POINT(13.4846985468755 49.7542821009682)"
191,"POINT(13.4912006593098 49.7626956728945)"
192,"POINT(13.4923486643176 49.7710402997877)"
193,"POINT(13.4940182825144 49.7948931872008)"
194,"POINT(13.4908000957802 49.7933834261143)"
195,"POINT(13.4895952912467 49.7948092830157)"
196,"POINT(13.4777577229795 49.7944169271582)"
197,"POINT(13.4111273999486 49.7920754633952)"
198,"POINT(13.3687190748218 49.8145609028026)"
199,"POINT(13.3592897672302 49.8161226790808)"
200,"POINT(13.3455295588421 49.8220975609998)"
201,"POINT(13.3064909682868 49.8035613843624)"
202,"POINT(13.3048642526872 49.8015695122023)"
203,"POINT(13.3186870248534 49.796291024299)"
204,"POINT(13.2529924686089 49.7999681404263)"
205,"POINT(13.2762257168919 49.7298898611506)"
206,"POINT(13.2775927813463 49.7302952081081)"
207,"POINT(13.2486699895636 49.7100951310121)"
208,"POINT(13.2395337966194 49.7087352113653)"
209,"POINT(13.2805221723626 49.7087861327418)"
210,"POINT(13.2804245164289 49.7088097697379)"
211,"POINT(13.281096036916 49.7086273459551)"
212,"POINT(13.2912787352551 49.700002891098)"
213,"POINT(13.2857477857375 49.7063389242265)"
214,"POINT(13.2851012390574 49.7067405653696)"
215,"POINT(13.2821899733802 49.7082081040686)"
216,"POINT(13.2815136965591 49.7084673962268)"
217,"POINT(13.2796342969141 49.7077313404052)"
218,"POINT(13.2788393545909 49.7071750798564)"
219,"POINT(13.280455474612 49.7082347056196)"
220,"POINT(13.2833728601834 49.7100268626122)"
221,"POINT(13.2817524572487 49.7090296963678)"
222,"POINT(13.2763011372605 49.7286593206491)"
223,"POINT(13.2945484587377 49.716789026934)"
224,"POINT(13.2788145321406 49.7092652672223)"
225,"POINT(13.2802594751504 49.7074482897194)"
226,"POINT(13.2826783335006 49.70959719108)"
227,"POINT(13.2821762050533 49.7092894254829)"
228,"POINT(13.2819447580549 49.7094451991195)"
229,"POINT(13.2816157886799 49.7097764200345)"
230,"POINT(13.2818911403288 49.7098060806745)"
231,"POINT(13.2803590481708 49.7099571402394)"
